,term,score
0,cochrane,0.3963869312249522
1,her,0.3628160118725656
2,she,0.2587653169175098
3,seaman,0.2373382857096501
4,bly,0.1981934656124761
5,nellie,0.1582255238064334
6,mark,0.13782504902759682
7,vexations,0.09909673280623806
8,ironclad,0.09909673280623806
9,phileas,0.09909673280623806
10,597,0.09909673280623806
11,plume,0.09909673280623806
12,elizabeth,0.0974730481932677
13,nom,0.09262878705241692
14,asylum,0.09262878705241692
15,verne,0.09262878705241692
16,balloon,0.09262878705241692
17,forgeries,0.09262878705241692
18,fogg,0.09262878705241692
19,liveliness,0.09262878705241692
20,litigations,0.09262878705241692
21,mcalpin,0.09262878705241692
22,diving,0.08803970650823215
23,parlors,0.08803970650823215
24,swallowed,0.08803970650823215
25,avenue,0.08522328708727091
26,baxter,0.08448013909699563
27,ascension,0.0791127619032167
28,jules,0.07698268021022622
29,insane,0.07698268021022622
30,barrel,0.07698268021022622
31,mills,0.07698268021022622
32,penniless,0.07698268021022622
33,days,0.07595865098573434
34,lexington,0.0751038150005899
35,57,0.0751038150005899
36,happily,0.0751038150005899
37,bankruptcy,0.0751038150005899
38,world,0.07478389952688663
39,properties,0.07190273272081821
40,tenth,0.07051473445640509
41,employees,0.07051473445640509
42,journalistic,0.06923789982657232
43,teens,0.06695516704516859
44,feat,0.0659256539122203
45,sorts,0.0659256539122203
46,costly,0.0659256539122203
47,journalism,0.064958574976417
48,disputes,0.06404678870258397
49,pen,0.06404678870258397
50,72,0.06404678870258397
51,company,0.06357499216479848
52,street,0.062423104089613615
53,manufacturing,0.0623660865009838
54,around,0.06044904147982866
55,1895,0.060136615595462496
56,landed,0.060136615595462496
57,eighty,0.060136615595462496
58,pa,0.059457708158399174
59,1889,0.059457708158399174
60,rooms,0.05880651908974729
61,bell,0.05880651908974729
62,pittsburgh,0.05818087352856639
63,steel,0.05757884294876284
64,luck,0.05643893548590545
65,pneumonia,0.05537508021481241
66,herbert,0.05486862761421439
67,journal,0.05486862761421439
68,patient,0.05486862761421439
69,seventh,0.05437776066899116
70,beat,0.05390154867841107
71,however,0.053758152470001805
72,senior,0.05298976240457805
73,lived,0.052242645891256025
74,judge,0.05212728657806945
75,1910,0.051712927774745274
76,forty,0.05015540701156025
77,clock,0.048400681860393265
78,removed,0.048071764702189414
79,hero,0.048071764702189414
80,tomorrow,0.048071764702189414
81,progress,0.04774949279174137
82,minutes,0.04774949279174137
83,fortune,0.04681999200525267
84,thirty,0.04652181665075692
85,founded,0.046229112713569866
86,courage,0.046229112713569866
87,newspapers,0.046229112713569866
88,water,0.045941683009198944
89,evening,0.04510922020566838
90,death,0.04453690719680742
91,paper,0.04406281779956261
92,succeeded,0.043811601316208475
93,entire,0.043811601316208475
94,sea,0.043811601316208475
95,trip,0.04356427981932397
96,services,0.04332073437098524
97,york,0.043270715863691016
98,afternoon,0.04308085139930296
99,fifth,0.04308085139930296
100,earned,0.042611643543635454
101,herself,0.042382115597962434
102,hotel,0.042155843477794566
103,tour,0.042155843477794566
104,staff,0.04193273610657213
105,charge,0.04193273610657213
106,air,0.040053870896935795
107,thousands,0.03985813939824159
108,spirit,0.03966478046101635
109,up,0.039088234118265876
110,view,0.03891396343407841
111,various,0.03891396343407841
112,de,0.03873165382680045
113,character,0.03837316869533562
114,church,0.037679497798627934
115,robert,0.037679497798627934
116,together,0.0370147384041835
117,town,0.036852788617164116
118,mass,0.036533739641772416
119,reached,0.03637657662658402
120,25,0.03637657662658402
121,funeral,0.0359141698441413
122,11,0.03517208641556394
123,hours,0.03517208641556394
124,body,0.03474286095971254
125,morning,0.034602314526242406
126,week,0.03418795572291823
127,st,0.0328796887341329
128,writing,0.03275457501820255
129,read,0.03250725352131806
130,making,0.03214331567504809
131,15,0.032023825101297046
132,hospital,0.0319052229415145
133,famous,0.03155461724562954
134,sent,0.0314394404491857
135,series,0.030986873443146542
136,throughout,0.03087570980856622
137,followed,0.030655679878658835
138,remained,0.03054679265036237
139,today,0.03054679265036237
140,west,0.03022452073991433
141,member,0.030013233982057616
142,ago,0.028996844598929875
143,turned,0.028801113100235677
144,returned,0.0284167109573719
145,yesterday,0.027948879275367593
146,mrs,0.027765521888720012
147,friends,0.027316142397329705
148,may,0.026879076235000902
149,against,0.02645366657082111
150,high,0.026369929281384548
151,held,0.026121322945628012
152,every,0.026039307767496928
153,still,0.025795762319158196
154,down,0.02555587934747592
155,found,0.024857143546135396
156,000,0.024857143546135396
157,few,0.024781362325196482
158,national,0.024781362325196482
159,president,0.024556155050461877
160,career,0.023827630413187115
161,age,0.0237565749860932
162,known,0.023615406657649902
163,people,0.02319924609038784
164,married,0.022860551477383795
165,began,0.022594680039386517
166,took,0.02226845359840371
167,will,0.022139808409189297
168,father,0.021948765203550772
169,went,0.02096679880329113
170,mr,0.0206136054008538
171,american,0.02038241415117979
172,they,0.019167494441908413
173,into,0.019061501247910003
174,old,0.019061501247910003
175,year,0.018644433909558153
176,all,0.018593058931151197
