,term,score
0,in,44
1,of,43
2,and,38
3,the,38
4,her,26
5,she,25
6,was,21
7,tarbell,19
8,to,18
9,for,17
10,miss,14
11,lincoln,10
12,on,10
13,at,9
14,two,7
15,but,7
16,work,7
17,had,7
18,who,7
19,oil,6
20,as,6
21,business,6
22,were,6
23,with,5
24,by,5
25,first,5
26,life,5
27,this,4
28,standard,4
29,american,4
30,volumes,4
31,abraham,4
32,later,4
33,magazine,4
34,became,4
35,articles,4
36,other,3
37,degree,3
38,easton,3
39,is,3
40,not,3
41,although,3
42,it,3
43,three,3
44,editor,3
45,published,3
46,president,3
47,mcclure,3
48,that,3
49,called,3
50,when,3
51,history,3
52,which,3
53,years,3
54,from,3
55,use,2
56,where,2
57,chiefly,2
58,until,2
59,ida,2
60,conference,2
61,also,2
62,minerva,2
63,frequently,2
64,wrote,2
65,conn,2
66,he,2
67,gary,2
68,good,2
69,some,2
70,knew,2
71,judge,2
72,father,2
73,those,2
74,industrial,2
75,franklin,2
76,titusville,2
77,rev,2
78,fame,2
79,there,2
80,paris,2
81,expose,2
82,studies,2
83,contrary,2
84,school,2
85,early,2
86,lectured,2
87,bridgeport,2
88,terms,2
89,mme,2
90,all,2
91,wendell,2
92,social,2
93,mrs,2
94,de,2
95,trusts,2
96,day,2
97,asked,2
98,will,2
99,associated,2
100,newspapers,2
101,his,2
102,arizona,2
103,new,2
104,last,2
105,davis,2
106,biography,2
107,biographer,2
108,home,2
109,college,2
110,appeared,2
111,pa,2
112,hospital,2
113,church,2
114,trust,2
115,warm,1
116,woman,1
117,being,1
118,beings,1
119,domain,1
120,james,1
121,installments,1
122,footsteps,1
123,jan,1
124,stood,1
125,field,1
126,believed,1
127,like,1
128,rule,1
129,redding,1
130,creek,1
131,stories,1
132,parents,1
133,no,1
134,lee,1
135,particularly,1
136,jesse,1
137,reflected,1
138,be,1
139,decades,1
140,live,1
141,spent,1
142,little,1
143,country,1
144,dec,1
145,words,1
146,county,1
147,lacked,1
148,said,1
149,women,1
150,27,1
151,spirit,1
152,grit,1
153,dean,1
154,28,1
155,become,1
156,wooden,1
157,been,1
158,nineteen,1
159,spoke,1
160,won,1
161,taken,1
162,fine,1
163,large,1
164,roads,1
165,buster,1
166,discovered,1
167,temperance,1
168,better,1
169,realized,1
170,came,1
171,between,1
172,what,1
173,golden,1
174,roland,1
175,taught,1
176,86,1
177,do,1
178,patient,1
179,owen,1
180,california,1
181,billy,1
182,own,1
183,stead,1
184,while,1
185,left,1
186,rock,1
187,go,1
188,nephew,1
189,willkie,1
190,wilson,1
191,tanks,1
192,went,1
193,napoleon,1
194,followed,1
195,stael,1
196,graduation,1
197,interested,1
198,gift,1
199,terror,1
200,rouseville,1
201,winters,1
202,national,1
203,raised,1
204,nationalizing,1
205,interpretation,1
206,letter,1
207,roswell,1
208,wing,1
209,near,1
210,ten,1
211,nieces,1
212,received,1
213,roosevelt,1
214,girl,1
215,girls,1
216,keenly,1
217,views,1
218,voted,1
219,human,1
220,tucson,1
221,series,1
222,clark,1
223,associate,1
224,methodist,1
225,service,1
226,assignment,1
227,serving,1
228,movements,1
229,tupper,1
230,praise,1
231,communism,1
232,powers,1
233,university,1
234,sewing,1
235,sex,1
236,since,1
237,announced,1
238,completion,1
239,eventually,1
240,element,1
241,conditions,1
242,an,1
243,tristan,1
244,analytical,1
245,attention,1
246,manufacturer,1
247,many,1
248,circuit,1
249,sense,1
250,sent,1
251,evils,1
252,sister,1
253,september,1
254,ann,1
255,mass,1
256,herself,1
257,house,1
258,historical,1
259,mccullough,1
260,undertakings,1
261,pneumonia,1
262,understanding,1
263,mediocrity,1
264,collaboration,1
265,equality,1
266,entitled,1
267,episcopal,1
268,entrusted,1
269,meadville,1
270,are,1
271,poland,1
272,ardent,1
273,cogs,1
274,meetings,1
275,mccan,1
276,esther,1
277,eric,1
278,mere,1
279,encouraged,1
280,post,1
281,type,1
282,high,1
283,clock,1
284,closer,1
285,menace,1
286,men,1
287,member,1
288,sheer,1
289,unemployment,1
290,popular,1
291,erie,1
292,ericson,1
293,christ,1
294,conducted,1
295,managing,1
296,today,1
297,after,1
298,family,1
299,age,1
300,pennsylvania,1
301,saying,1
302,chair,1
303,ago,1
