,term,score
0,the,21
1,of,16
2,her,15
3,in,14
4,and,13
5,she,10
6,at,8
7,cochrane,4
8,was,4
9,to,4
10,world,4
11,by,3
12,seaman,3
13,mark,3
14,days,3
15,up,2
16,street,2
17,lived,2
18,bly,2
19,around,2
20,with,2
21,nellie,2
22,company,2
23,elizabeth,2
24,avenue,2
25,york,2
26,death,2
27,new,2
28,as,2
29,one,2
30,however,2
31,went,1
32,writing,1
33,asylum,1
34,hero,1
35,making,1
36,succeeded,1
37,swallowed,1
38,courage,1
39,employees,1
40,view,1
41,yesterday,1
42,people,1
43,which,1
44,insane,1
45,seventh,1
46,be,1
47,newspapers,1
48,career,1
49,known,1
50,returned,1
51,tour,1
52,verne,1
53,afternoon,1
54,mass,1
55,pa,1
56,began,1
57,old,1
58,tomorrow,1
59,steel,1
60,throughout,1
61,they,1
62,minutes,1
63,mr,1
64,mrs,1
65,baxter,1
66,staff,1
67,remained,1
68,judge,1
69,earned,1
70,air,1
71,progress,1
72,tenth,1
73,when,1
74,landed,1
75,on,1
76,herself,1
77,pen,1
78,sorts,1
79,hours,1
80,fortune,1
81,penniless,1
82,diving,1
83,forty,1
84,every,1
85,character,1
86,1910,1
87,charge,1
88,followed,1
89,1889,1
90,president,1
91,member,1
92,evening,1
93,water,1
94,1895,1
95,founded,1
96,american,1
97,thirty,1
98,body,1
99,west,1
100,happily,1
101,rooms,1
102,journal,1
103,hospital,1
104,took,1
105,into,1
106,parlors,1
107,fogg,1
108,bankruptcy,1
109,years,1
110,national,1
111,journalistic,1
112,journalism,1
113,senior,1
114,beat,1
115,year,1
116,few,1
117,lexington,1
118,thousands,1
119,high,1
120,eighty,1
121,hotel,1
122,st,1
123,married,1
124,balloon,1
125,against,1
126,plume,1
127,died,1
128,feat,1
129,liveliness,1
130,ironclad,1
131,friends,1
132,000,1
133,later,1
134,all,1
135,but,1
136,down,1
137,disputes,1
138,series,1
139,forgeries,1
140,spirit,1
141,clock,1
142,held,1
143,25,1
144,an,1
145,born,1
146,funeral,1
147,sea,1
148,town,1
149,costly,1
150,de,1
151,manufacturing,1
152,11,1
153,will,1
154,nom,1
155,bell,1
156,robert,1
157,teens,1
158,may,1
159,made,1
160,patient,1
161,father,1
162,from,1
163,mills,1
164,597,1
165,turned,1
166,barrel,1
167,still,1
168,ago,1
169,vexations,1
170,mcalpin,1
171,morning,1
172,phileas,1
173,litigations,1
174,time,1
175,57,1
176,week,1
177,that,1
178,read,1
179,found,1
180,pneumonia,1
181,various,1
182,15,1
183,services,1
184,herbert,1
185,removed,1
186,reached,1
187,ascension,1
188,famous,1
189,for,1
190,properties,1
191,age,1
192,together,1
193,church,1
194,fifth,1
195,pittsburgh,1
196,luck,1
197,sent,1
198,trip,1
199,jules,1
200,entire,1
201,72,1
202,paper,1
203,who,1
204,today,1
