,term,score
0,the,53
1,of,46
2,in,31
3,and,30
4,her,22
5,was,19
6,she,16
7,cather,12
8,to,9
9,years,7
10,miss,7
11,for,7
12,two,7
13,as,6
14,it,6
15,that,6
16,on,6
17,with,6
18,which,5
19,work,5
20,later,5
21,wrote,5
22,book,5
23,new,5
24,by,5
25,published,4
26,first,4
27,at,4
28,most,4
29,this,4
30,many,4
31,had,4
32,american,4
33,but,4
34,an,4
35,is,3
36,university,3
37,york,3
38,calif,3
39,story,3
40,novels,3
41,from,3
42,death,3
43,novel,3
44,nebraska,3
45,not,3
46,or,3
47,my,3
48,have,2
49,one,2
50,editor,2
51,volume,2
52,considered,2
53,did,2
54,long,2
55,school,2
56,verse,2
57,during,2
58,lost,2
59,family,2
60,famous,2
61,little,2
62,spent,2
63,southwest,2
64,year,2
65,wife,2
66,lady,2
67,won,2
68,red,2
69,stories,2
70,writer,2
71,followed,2
72,writing,2
73,received,2
74,girl,2
75,willa,2
76,four,2
77,1931,2
78,1923,2
79,country,2
80,who,2
81,when,2
82,novelist,2
83,west,2
84,near,2
85,author,2
86,books,2
87,their,2
88,then,2
89,institute,2
90,been,2
91,said,2
92,were,2
93,forrester,2
94,mcclure,2
95,april,2
96,twilights,2
97,cloud,2
98,english,2
99,middle,2
100,under,2
101,pioneers,2
102,sibert,2
103,old,2
104,antonia,2
105,household,2
106,his,2
107,masterpiece,1
108,essays,1
109,hours,1
110,sides,1
111,house,1
112,started,1
113,western,1
114,came,1
115,arts,1
116,neb,1
117,ranked,1
118,climax,1
119,tells,1
120,telling,1
121,rather,1
122,high,1
123,artist,1
124,highest,1
125,gold,1
126,comes,1
127,while,1
128,technique,1
129,into,1
130,america,1
131,ranch,1
132,pittsburgh,1
133,inspiration,1
134,they,1
135,according,1
136,greatest,1
137,park,1
138,great,1
139,europe,1
140,doing,1
141,there,1
142,prairies,1
143,simple,1
144,classics,1
145,life,1
146,captain,1
147,distinction,1
148,placid,1
149,shadows,1
150,intellectual,1
151,than,1
152,grandmothers,1
153,about,1
154,railway,1
155,graduated,1
156,letters,1
157,national,1
158,palo,1
159,distinguished,1
160,rock,1
161,go,1
162,ireland,1
163,reached,1
164,whittier,1
165,talent,1
166,tale,1
167,james,1
168,homestead,1
169,understanding,1
170,medal,1
171,ours,1
172,home,1
173,30,1
174,meanwhile,1
175,building,1
176,other,1
177,are,1
178,deal,1
179,jessica,1
180,short,1
181,archbishop,1
182,reviewer,1
183,form,1
184,formed,1
185,dec,1
186,generations,1
187,former,1
188,generally,1
189,originally,1
190,died,1
191,december,1
192,talents,1
193,talk,1
194,output,1
195,colorado,1
196,hospitable,1
197,disintegration,1
198,music,1
199,70,1
200,teaching,1
201,reading,1
202,enemy,1
203,taylor,1
204,maturity,1
205,columbia,1
206,england,1
207,will,1
208,popular,1
209,lark,1
210,570,1
211,newspaper,1
212,next,1
213,winchester,1
214,honorary,1
215,honor,1
216,medusa,1
217,its,1
218,collection,1
219,coarsening,1
220,last,1
221,arizona,1
222,few,1
223,lincoln,1
224,began,1
225,early,1
226,economy,1
227,exquisite,1
228,alfred,1
229,constructing,1
230,alexander,1
231,up,1
232,impress,1
233,charming,1
234,charm,1
235,eyes,1
236,attitude,1
237,baker,1
238,chronicle,1
239,period,1
240,slave,1
241,perhaps,1
242,each,1
243,attended,1
244,proper,1
245,handed,1
246,contractor,1
247,manner,1
248,very,1
249,prose,1
250,lucy,1
251,something,1
252,troll,1
253,scene,1
254,professor,1
255,magazine,1
256,conferred,1
257,traveled,1
258,auld,1
259,upset,1
260,seen,1
261,priestley,1
262,americaine,1
263,phillips,1
264,princeton,1
265,choosing,1
266,section,1
267,slow,1
268,haunting,1
269,slowly,1
270,secretary,1
271,alto,1
272,among,1
273,although,1
274,minute,1
275,also,1
276,alsace,1
277,prix,1
278,prize,1
279,avenue,1
280,va,1
281,experiments,1
282,conquered,1
283,award,1
284,editorial,1
285,managing,1
286,song,1
287,took,1
288,too,1
289,be,1
290,vivid,1
291,mexico,1
292,specific,1
293,city,1
294,same,1
295,patient,1
296,moved,1
297,dozen,1
298,methods,1
299,mrs,1
300,much,1
301,hemorrhage,1
302,litt,1
303,through,1
304,familiar,1
305,associate,1
306,saints,1
307,annual,1
308,femina,1
309,another,1
310,three,1
311,became,1
312,because,1
313,thought,1
314,particular,1
315,part,1
316,comparison,1
317,compared,1
318,time,1
319,margaret,1
320,pulitzer,1
321,inferior,1
322,age,1
323,conceived,1
324,ancestors,1
325,after,1
326,cerebral,1
327,due,1
328,soul,1
329,told,1
330,elsie,1
331,sensitive,1
332,more,1
333,true,1
334,farm,1
335,farmers,1
336,title,1
337,virginia,1
338,mortal,1
339,publication,1
340,michigan,1
341,sisters,1
342,publishers,1
343,visited,1
344,sapphira,1
345,father,1
346,times,1
347,basis,1
348,adoring,1
349,off,1
350,beach,1
351,gave,1
352,gayheart,1
353,both,1
354,degree,1
355,write,1
356,reissued,1
357,bought,1
358,1924,1
359,bright,1
360,1925,1
361,1905,1
362,destinies,1
363,wyoming,1
364,forty,1
365,open,1
366,development,1
367,such,1
368,detail,1
369,novelists,1
370,1944,1
371,boy,1
372,youth,1
373,noted,1
374,1922,1
375,suit,1
376,garden,1
377,full,1
378,designed,1
379,survey,1
380,1876,1
381,suffered,1
382,bridge,1
383,1912,1
384,remembered,1
385,reported,1
386,nourishment,1
387,brothers,1
388,retired,1
389,yale,1
390,notably,1
391,obscure,1
392,sustained,1
393,surviving,1
394,1927,1
395,friends,1
396,yesterday,1
397,summer,1
398,knopf,1
399,reminiscence,1
400,1928,1
401,born,1
402,1895,1
403,1940,1
404,john,1
405,1929,1
