,term,score
0,the,211
1,and,116
2,of,116
3,in,114
4,was,80
5,he,77
6,to,77
7,his,71
8,sinclair,55
9,mr,47
10,for,34
11,that,29
12,it,27
13,as,24
14,by,24
15,on,20
16,with,19
17,one,18
18,at,18
19,an,18
20,which,17
21,had,17
22,about,16
23,from,16
24,who,16
25,books,13
26,but,13
27,wrote,12
28,social,11
29,life,11
30,socialist,11
31,be,11
32,my,10
33,were,10
34,years,10
35,when,9
36,time,9
37,only,9
38,said,9
39,its,9
40,many,8
41,american,8
42,writer,8
43,there,8
44,all,8
45,not,7
46,also,7
47,what,7
48,california,7
49,they,7
50,this,7
51,have,7
52,world,7
53,000,6
54,then,6
55,called,6
56,up,6
57,into,6
58,through,6
59,upton,6
60,10,6
61,their,6
62,author,6
63,home,6
64,read,6
65,book,6
66,himself,6
67,party,6
68,him,6
69,later,6
70,two,6
71,although,5
72,million,5
73,been,5
74,industry,5
75,is,5
76,city,5
77,words,5
78,more,5
79,published,5
80,first,5
81,novel,5
82,union,5
83,jungle,5
84,war,5
85,campaign,5
86,public,5
87,me,5
88,thought,4
89,series,4
90,where,4
91,states,4
92,1906,4
93,brass,4
94,whose,4
95,house,4
96,meat,4
97,united,4
98,went,4
99,would,4
100,until,4
101,than,4
102,against,4
103,after,4
104,civil,4
105,college,4
106,1934,4
107,story,4
108,love,4
109,lanny,4
110,most,4
111,reason,4
112,day,4
113,some,4
114,democratic,4
115,often,4
116,budd,4
117,causes,3
118,40,3
119,money,3
120,fame,3
121,taught,3
122,widely,3
123,father,3
124,cause,3
125,workers,3
126,her,3
127,heart,3
128,recalled,3
129,writing,3
130,family,3
131,pamphlets,3
132,ford,3
133,will,3
134,william,3
135,communist,3
136,politics,3
137,food,3
138,whom,3
139,novels,3
140,millions,3
141,won,3
142,colony,3
143,boston,3
144,high,3
145,hero,3
146,writers,3
147,total,3
148,married,3
149,socialism,3
150,check,3
151,king,3
152,died,3
153,another,3
154,southern,3
155,knew,3
156,major,3
157,school,3
158,did,3
159,upon,3
160,vanzetti,3
161,oil,3
162,sacco,3
163,ve,3
164,weeks,3
165,few,3
166,indeed,3
167,days,3
168,them,3
169,man,3
170,mary,3
171,press,3
172,son,3
173,others,3
174,justice,3
175,macfadden,3
176,made,3
177,poverty,3
178,epic,3
179,liberties,3
180,before,3
181,business,3
182,roosevelt,3
183,entered,3
184,out,3
185,found,3
186,new,3
187,never,3
188,appeal,3
189,obvious,3
190,fox,3
191,those,3
192,educational,3
193,these,3
194,depicted,2
195,leading,2
196,clean,2
197,fiction,2
198,people,2
199,1967,2
200,between,2
201,write,2
202,1962,2
203,month,2
204,near,2
205,famous,2
206,society,2
207,theodore,2
208,slavery,2
209,work,2
210,federal,2
211,works,2
212,beall,2
213,mrs,2
214,believe,2
215,face,2
216,movement,2
217,times,2
218,circulation,2
219,felt,2
220,so,2
221,mother,2
222,third,2
223,hall,2
224,25,2
225,child,2
226,phenomena,2
227,chicago,2
228,believed,2
229,men,2
230,pictured,2
231,retold,2
232,magazine,2
233,eight,2
234,country,2
235,david,2
236,electoral,2
237,could,2
238,prohibition,2
239,elizabeth,2
240,professional,2
241,among,2
242,included,2
243,ran,2
244,dealt,2
245,death,2
246,process,2
247,prize,2
248,scores,2
249,marriage,2
250,control,2
251,90,2
252,ills,2
253,editor,2
254,economic,2
255,psychic,2
256,put,2
257,drinking,2
258,act,2
259,introduction,2
260,achieved,2
261,long,2
262,addition,2
263,wage,2
264,votes,2
265,interest,2
266,race,2
267,ago,2
268,living,2
269,pure,2
270,account,2
271,earnings,2
272,age,2
273,publishers,2
274,literature,2
275,literary,2
276,critics,2
277,dollars,2
278,appeared,2
279,enough,2
280,miss,2
281,ever,2
282,turned,2
283,company,2
284,evidence,2
285,point,2
286,hollywood,2
287,columbia,2
288,plea,2
289,autobiography,2
290,back,2
291,europe,2
292,led,2
293,henry,2
294,lectures,2
295,helped,2
296,helicon,2
297,coal,2
298,since,2
299,democrat,2
300,toward,2
301,twenties,2
302,meta,2
303,if,2
304,jerome,2
305,whether,2
306,while,2
307,self,2
308,are,2
309,hundred,2
310,white,2
311,conditions,2
312,arousing,2
313,however,2
314,mental,2
315,met,2
316,seven,2
317,letters,2
318,defense,2
319,jesus,2
320,letter,2
321,let,2
322,divorce,2
323,less,2
324,wife,2
325,readers,2
326,translated,2
327,11,2
328,1927,2
329,substantial,2
330,own,2
331,came,2
332,once,2
333,1902,2
334,strong,2
335,newspapers,2
336,calais,2
337,stomach,2
338,office,2
339,succeeded,2
340,summed,2
341,boy,2
342,reform,2
343,devotion,2
344,system,2
345,news,2
346,birth,2
347,can,2
348,nineteen,2
349,1917,2
350,night,2
351,four,2
352,century,2
353,good,2
354,five,2
355,goods,2
356,regretted,2
357,ceased,2
358,student,2
359,case,2
360,no,2
361,other,2
362,nonetheless,2
363,york,2
364,organize,2
365,brown,2
366,next,2
367,gave,2
368,known,2
369,over,2
370,french,2
371,following,2
372,big,2
373,free,2
374,state,2
375,strike,2
376,diet,2
377,further,2
378,know,2
379,board,2
380,year,2
381,support,2
382,george,2
383,kept,2
384,paid,2
385,needs,2
386,religion,2
387,marxist,1
388,controlled,1
389,annoy,1
390,converted,1
391,off,1
392,primary,1
393,anguish,1
394,breakup,1
395,primness,1
396,conviction,1
397,employes,1
398,emotions,1
399,convinced,1
400,princeton,1
401,printing,1
402,primarily,1
403,printed,1
404,impelled,1
405,annapolis,1
406,conventional,1
407,answered,1
408,unsanitary,1
409,principal,1
410,important,1
411,oddities,1
412,sort,1
413,priscilla,1
414,impressed,1
415,analysis,1
416,generously,1
417,stilled,1
418,march,1
419,embittered,1
420,incendiary,1
421,general,1
422,uppie,1
423,inches,1
424,prodding,1
425,briefly,1
426,incident,1
427,prodigious,1
428,embarked,1
429,produce,1
430,oilfields,1
431,produced,1
432,producing,1
433,stirred,1
434,analyzing,1
435,anarchist,1
436,processes,1
437,mark,1
438,impression,1
439,frank,1
440,scolding,1
441,sundays,1
442,impressive,1
443,marker,1
444,callow,1
445,angeles,1
446,scion,1
447,call,1
448,campaigning,1
449,privately,1
450,cooperative,1
451,gentle,1
452,copies,1
453,prizes,1
454,unwavering,1
455,genteel,1
456,improbable,1
457,endured,1
458,contrived,1
459,practices,1
460,argued,1
461,sept,1
462,argosy,1
463,forsook,1
464,sentimental,1
465,sentiment,1
466,fort,1
467,sent,1
468,equally,1
469,practical,1
470,sensation,1
471,encouraged,1
472,meatpacking,1
473,statute,1
474,episcopal,1
475,meantime,1
476,pace,1
477,senate,1
478,envisioned,1
479,entry,1
480,ibsen,1
481,conservatism,1
482,meet,1
483,forms,1
484,conflict,1
485,humored,1
486,mencken,1
487,condemned,1
488,survived,1
489,oriented,1
490,packinghouse,1
491,service,1
492,serve,1
493,conducting,1
494,hugo,1
495,memorable,1
496,members,1
497,member,1
498,former,1
499,serialized,1
500,melodrama,1
501,sergei,1
502,under,1
503,arithmetic,1
504,underdog,1
505,postwar,1
506,potboilers,1
507,conservative,1
508,selling,1
509,sell,1
510,occurred,1
511,secretaries,1
512,engage,1
513,anything,1
514,contentment,1
515,anyone,1
516,presents,1
517,energy,1
518,president,1
519,materials,1
520,old,1
521,continued,1
522,germany,1
523,campaigns,1
524,immigrant,1
525,ending,1
526,ended,1
527,scuttle,1
528,contrast,1
529,end,1
530,impassioned,1
531,anti,1
532,english,1
533,step,1
534,consider,1
535,contained,1
536,observers,1
537,branch,1
538,precocious,1
539,suppression,1
540,enthusiasm,1
541,fought,1
542,ideology,1
543,founded,1
544,idle,1
545,founder,1
546,supported,1
547,seemed,1
548,appellations,1
549,enormous,1
550,prejudices,1
551,founding,1
552,obtained,1
553,unions,1
554,get,1
555,supervised,1
556,camps,1
557,amounted,1
558,usually,1
559,including,1
560,again,1
561,strength,1
562,pulitzer,1
563,earned,1
564,order,1
565,early,1
566,pulp,1
567,violent,1
568,virgin,1
569,instant,1
570,each,1
571,virtue,1
572,affectionately,1
573,affection,1
574,pungent,1
575,institute,1
576,rustics,1
577,vision,1
578,dwindled,1
579,russell,1
580,crusaded,1
581,ordered,1
582,struggle,1
583,fuller,1
584,productive,1
585,aged,1
586,innocence,1
587,victory,1
588,opposites,1
589,styled,1
590,fruit,1
591,publicity,1
592,agitational,1
593,stupid,1
594,vigorous,1
595,agile,1
596,galloped,1
597,vileness,1
598,or,1
599,publisher,1
600,luther,1
601,straw,1
602,full,1
603,puck,1
604,insidious,1
605,agencies,1
606,earthy,1
607,crusader,1
608,visited,1
609,advocating,1
610,funds,1
611,looked,1
612,wagnalls,1
613,interruption,1
614,customer,1
615,organization,1
616,queen,1
617,drumfire,1
618,interviewed,1
619,london,1
620,drug,1
621,organizing,1
622,actually,1
623,wallis,1
624,activity,1
625,activities,1
626,quickly,1
627,walter,1
628,quietly,1
629,introduce,1
630,lodging,1
631,introspective,1
632,looking,1
633,furnished,1
634,los,1
635,funeral,1
636,instrumental,1
637,advocate,1
638,dutchess,1
639,run,1
640,burbank,1
641,during,1
642,advance,1
643,culminated,1
644,voice,1
645,intense,1
646,future,1
647,culturist,1
648,funk,1
649,bulk,1
650,volumes,1
651,intercollegiate,1
652,strivings,1
653,admission,1
654,voted,1
655,voters,1
656,eclogues,1
657,stylist,1
658,ailments,1
659,industrial,1
660,scandal,1
661,amateur,1
662,indelible,1
663,am,1
664,always,1
665,saying,1
666,indictment,1
667,gastronomic,1
668,promoted,1
669,saw,1
670,alternated,1
671,broadsides,1
672,valley,1
673,election,1
674,elected,1
675,friend,1
676,propaganda,1
677,subsisted,1
678,saturday,1
679,allusion,1
680,couple,1
681,prohibitionist,1
682,success,1
683,fresh,1
684,incorporated,1
685,bringing,1
686,gaylord,1
687,urged,1
688,eluded,1
689,professors,1
690,scenes,1
691,else,1
692,use,1
693,used,1
694,profits,1
695,succession,1
696,increasingly,1
697,portrayed,1
698,such,1
699,corruption,1
700,incumbent,1
701,corydon,1
702,frenzied,1
703,utopian,1
704,frequently,1
705,brook,1
706,subsidized,1
707,aimed,1
708,industries,1
709,effect,1
710,protesters,1
711,alcohol,1
712,education,1
713,vermin,1
714,proud,1
715,albert,1
716,prove,1
717,same,1
718,created,1
719,straightforward,1
720,very,1
721,madam,1
722,credit,1
723,edged,1
724,creek,1
725,game,1
726,injurious,1
727,injustice,1
728,salesman,1
729,economics,1
730,effected,1
731,protest,1
732,craig,1
733,frightening,1
734,subsequently,1
735,making,1
736,proposed,1
737,eisenstein,1
738,cousin,1
739,einstein,1
740,stories,1
741,infant,1
742,brothel,1
743,brought,1
744,influential,1
745,vegetarianism,1
746,coverlets,1
747,maintained,1
748,venality,1
749,prostitute,1
750,prostitution,1
751,inflammatory,1
752,effort,1
753,influence,1
754,set,1
755,severely,1
756,settlement,1
757,moved,1
758,circulated,1
759,celebre,1
760,fashionable,1
761,battles,1
762,mountain,1
763,battle,1
764,slightly,1
