,term,score
339,career,1
340,race,1
341,failure,1
342,charge,1
343,then,1
344,characterized,1
345,accra,1
346,early,1
347,faced,1
348,sociologist,1
349,grace,1
350,scientist,1
351,wednesday,1
352,nations,1
353,graham,1
354,consultant,1
355,raised,1
356,raise,1
357,trade,1
358,scottsboro,1
359,international,1
360,economic,1
361,social,1
362,socialist,1
363,socialists,1
364,town,1
365,society,1
366,proclamation,1
367,time,1
368,determined,1
369,colored,1
370,how,1
371,10th,1
372,1924,1
373,shirley,1
374,members,1
375,envisioned,1
376,1961,1
377,member,1
378,york,1
379,master,1
380,1920,1
381,himself,1
382,boys,1
383,yolanda,1
384,founders,1
385,reserved,1
386,support,1
387,relatively,1
388,home,1
389,color,1
390,10,1
391,application,1
392,founder,1
393,under,1
394,apply,1
395,strive,1
396,jury,1
397,him,1
398,1959,1
399,frederic,1
400,organization,1
401,frequently,1
402,sufficient,1
403,book,1
404,research,1
405,defense,1
406,suppression,1
407,england,1
408,1944,1
409,1945,1
410,historical,1
411,1946,1
412,writings,1
413,should,1
414,remained,1
415,old,1
416,1949,1
417,1934,1
418,planning,1
419,1931,1
420,representative,1
421,surviving,1
422,union,1
423,1868,1
424,democrats,1
425,college,1
426,four,1
427,membership,1
428,found,1
429,opposed,1
430,communists,1
431,1888,1
432,resigned,1
433,often,1
434,officers,1
435,1909,1
436,joliot,1
437,policy,1
438,1895,1
439,bootstraps,1
440,1891,1
441,any,1
442,1907,1
443,once,1
444,1911,1
445,mass,1
446,francisco,1
447,studies,1
448,come,1
449,1890,1
450,friends,1
451,companionable,1
452,brooklyn,1
453,republicans,1
454,register,1
455,resign,1
456,are,1
457,1896,1
458,community,1
459,resigning,1
460,1903,1
